de,en
giftig,poisonous(ly)
im Freien,in the outdoors
die Haut (Singular),skin
"das Insekt, -en",insect
der Insektenschutz (Singular),insect repellent
"das Netz, -e",net
"der Pilz, -e","mushroom, toadstool"
der Schutz (Singular),protection
übernachten,to spend the night
"die Abneigung, -en","dislike, aversion"
"das Boot, -e",boat
erholsam,"relaxing, refreshing"
frustriert,frustrated(ly)
der Harz (Gebirge in Deutschland),Harz Mountains (Mountains in Germany)
langweilen (sich),to be bored
die Ruhe (Singular),"quiet, rest"
"der Urlaubsgruß, Urlaubsgrüße",greeting from vacation
buchen,to book
eben (Das ist eben nicht leicht.),here: just (It’s just not so easy.)
irgendwo,somewhere
"losfahren (fährt los, fuhr los, ist losgefahren)","to get going, to drive off"
spontan,spontaneous(ly)
die Urlaubsplanung (Singular),vacation planning
"der Urlaubstyp, -en",vacation type
"das Urlaubsziel, -e",vacation destination
erholen (sich),"to recover, relax"
"der Feierabend, -e","end of work, closing time"
"der Skype-Dialog, -e",Skype dialogue
sorry,sorry
aktiv,active(ly)
"begegnen (begegnet, begegnete, ist begegnet)",to encounter
entspannend,relaxing
faulenzen,to loaf around
inklusive,"inclusive of, including"
"die Kreuzfahrt, -en",cruise
"das Wellnesshotel, -s",spa hotel
"der Stopp, -s (In Berlin legen wir einen Stopp ein.)",stop (We’re having a stop in Berlin.)
"die Fahrt, -en","drive, ride"
"der Flug, Flüge",flight
inbegriffen,included
die Vollpension (Singular),"full board, meals included"
"zwar (Ich möchte eine Reise buchen, und zwar nach Spanien.)",here: namely (I’d like to book a trip (namely) to Spain.)
ausruhen (sich),to take a rest
beraten,to advise
bügeln,to iron
das Kinderland (Singular),kids zone
nutzen,"to use, take advantage of"
pur,pure(ly)
reinigen,"to clean, launder"
"der Top-Koch, Top-Köche",top chef (m.)
verwöhnen,"to spoil, pamper"
der Luxus (Singular),luxury
"der Bescheid, -e (Bescheid sagen) (Wir wissen Bescheid.)","here: clue, idea (to let s.o. know) (We know for sure.)"
"die Bewertung, -en","assessment, valuation"
immerhin,after all
kulinarisch,"culinary, culinarily"
der Dusel (Singular),"luck, fluke"
"der Massel, -s","pig, here: luck"
"wiederbekommen (bekommt wieder, bekam wieder, hat wiederbekommen)",to get back
erleichtert,relieved
"erschrecken (erschrickt, erschrak, ist erschrocken)",to become scared
"der Flugbegleiter, -",flight attendant (m.)
"das Gepäckfach, Gepäckfächer",luggage compartment
"die Passkontrolle, -n",passport control
"die Sitzreihe, -n",seating row
verhaften,to arrest
"verlegen (Er war verlegen, weil sie so nett zu ihm war.)",embarrassed (He was embarrassed because she was so nice to him.)
verzweifelt,desperate(ly)
"die Botschaft, -en",embassy
"die Grenze, -n",border
"das Konsulat, -e",consulate
"das Visum, Visa",visa
der Zoll (Singular),customs
"der Ausgang, Ausgänge",exit
diktieren,to dictate
das Essen (Singular),food
"das Gepäckband, Gepäckbänder",luggage carousel
"die Alm, -en","meadow, high altitude pasture"
"der Almsommer, -",Alpine summer
"der Almurlaub, -e",Alpine vacation
"das Ehepaar, -e",married couple
eher,"rather, quite"
die Einsamkeit (Singular),here: solitude
erholt,recovered
falls,in case
"fassen (Ich kann es kaum fassen, morgen fahre ich schon nach Hause.)",here: to believe (I can hardly believe that I’m going home tomorrow.)
freuen (sich) (auf + Akk.) (Ich freue mich auf den Urlaub.),to look forward to (I’m looking forward to my holidays.)
"die Käserei, -en",cheesemaking factory
"melken (melkt, melkte, hat gemolken)",to milk
"mithelfen (hilft mit, half mit, hat mitgeholfen)",to help s.o.
"der Rückblick, -e","review, look back"
"der Sonnenaufgang, Sonnenaufgänge",sunrise
"der Wanderer, -","hiker, walker, wanderer"
"die Weide, -n",pasture
"der Wunderkräutertee, -s",miracle herbal tea
"zurückgehen (geht zurück, ging zurück, ist zurückgegangen) (Es geht zurück nach Hause.)",to go back (He’s going back home.)
"der Almaufenthalt, -e",Alpine visit
mitarbeiten,"to work together, to work with s.o."
"die Einparkhilfe, -n",parking sensor
"das Hawk-Eye, -s",hawk eye
"die Kassette, -n",cassette
"der Kopfhörer, -",headphones
"die Neuerung, -en",innovation
"der Schiedsrichter, -",referee
technisch,technical(ly)
"der Türöffner, -",door opener
"der Walkman, -s","walkman, portable cassette player"
"der Zahlencode, -s",numerical code
"die Zeitschaltuhr, -en",timer
das Aus (Singular),here: out of bounds
dabei,here: considering
darum (Ich habe nicht aufgepasst. Darum habe ich mein Handy verloren.),"that’s why (I didn’t pay attention, that’s why I lost my call phone.)"
"der Gegner, -",opponent
das Muss (Singular),must
schauen,to look
"das Taschenbuch, Taschenbücher",paperback
unfair,unfair
"der CD-Player, -",CD player
die Jugend (Singular),youth
seitdem,since then
ersetzen,to replace
"der Akku, -s",battery
"ausgehen (geht aus, ging aus, ist ausgegangen)","to run out, go out"
"der Erfahrungsbericht, -e",field report
"die Funktion, -en",function
"die Kaufentscheidung, -en",purchasing decision
"der Elektronikmarkt, Elektronikmärkte",electronics store
elektronisch,electronic(ally)
"die Fachzeitschrift, -en",trade journal
"der Freundeskreis, -e",circle of friends
"die Kundenbewertung, -en",customer review
"der Markt, Märkte",market
"das Sonderangebot, -e",special offer
"der Testbericht, -e",review
"der Werbeprospekt, -e",advertising brochure
"die Münze, -n",coin
"werfen (wirft, warf, hat geworfen)","to throw, toss"
senden,to send
einsetzen,"to use, employ, install"
"die Garantie, -n",guarantee
gebrauchen (So kann ich das Gerät nicht gebrauchen.),to use (I can’t use this thing as it is.)
"laden (lädt, lud, hat geladen)","to load, charge"
verärgert,angry
"das Kabel, -",cable
"der Monitor der, Monitoren",monitor
"der Schalter, -",switch
"die Steckdose, -n","power outlet, socket"
"der Stecker, -",plug
"klingen (klingt, klang, hat geklungen)",to sound
unfreundlich,unfriendly
"der Kasten, Kästen",box
anschalten,to turn on
"anschließen (schließt an, schloss an, hat angeschlossen)",to connect
drucken,to print
"das Elektrogeschäft, -e",electronics store
"der Farbdrucker, -",color printer
farbig,colorful
"die Farbpatrone, -n",color ink cartridge
"die Patrone, -n",ink cartridge
"die Reklamation, -en",complaint
smart,"smart, intelligent(ly)"
"die Vorstellung, -en","vision, imagination"
"der Adressat, -en","recipient, addressee"
ändern,to alter
apropos,"by the way, speaking of"
"auffallen (fällt auf, fiel auf, ist aufgefallen)",to stand out
bemerken,to notice
berühren,to touch
"die Computerstimme, -n",computerized voice
"hereinkommen (kommt herein, kam herein, ist hereingekommen)",to come in
"hinsehen (sieht hin, sah hin, hat hingesehen)",to look closely
klicken,to click
die Kosten (Plural),costs
"der Mitbewohner, -","roommate, flatmate"
"der Neubau, Neubauten",new building
speichern,"to store, save"
"umsehen (sich) (sieht sich um, sah sich um, hat sich umgesehen)",to look around
"die Videonachricht, -en",video message
"die Zentrale, -n",headquarters
"heimkommen (kommt heim, kam heim, ist heimgekommen)",to come home
"die Hightech-Wohnung, -en",high-tech apartment
anpassen,"to adapt, customize"
"das Gehalt, Gehälter",salary
trotz (+ Genitiv/Dativ) (Trotz der Hitze ist mir kalt.),"despite (Despite the heat, I’m cold.)"
wegen (+ Genitiv/Dativ),because of
"entsprechen (entspricht, entsprach, hat entsprochen)",to correspond
beeindruckt,impressed
"der Rollschuh, -e",roller skate
"die Werbeanzeige, -n",advertisement
die Beschleunigung (Singular),accelleration
"die Bio-Limonade, -n",organic lemonade
"die Brille, -n",glasses
"das Gesicht, -er",face
die Optik (Singular),optics
"der Tierpark, -s",zoo
"der Zoo, -s",zoo
das Aspirin (Singular),aspirin
frech,"cheeky, sassy"
geschmacklos,tasteless
"der Klebefilm, -e",adhesive film
"das Papiertaschentuch,",paper tissue
Papiertaschentücher der Süßstoff (Singular),sweetener
unmodern,unfashionable
"der Werbetext, -e",advertising copy
witzig,"funny, humorous"
davon,thereof
"ansprechen (spricht an, sprach an, hat angesprochen)","to appeal to, address"
"die Autofirma, Autofirmen",car company
darüber (Darüber möchte ich nicht sprechen.),here: about that (I don’t want to talk about that.)
"darum (Es geht darum, neugierig zu machen)",here: about that (It’s about making people curious.)
deswegen,"therefore, because of this"
"der Firmenname, -n",company name
genügen,to suffice
"der Genuss, Genüsse","indulgence, enjoyment"
das Kaufverhalten (Singular),purchasing behavior
der Konsum (Singular),consumption
"das Merkmal, -e",characteristic
der Reim,rhyme
die Schönheit (Singular),beauty
"der Slogan, -s",slogan
"der Stichpunkt, -e",bullet point
das Verhalten (Singular),behavior
verständlich,"understanable, understandably"
"werben (wirbt, warb, hat geworben)",to advertise
die Werbesprache (Singular),advertising language
"das Wortspiel, -e","play on words, pun"
zumindest,at least
"die Zigarette, -n",cigarette
"der Geschmack, Geschmäcker","flavor, taste"
der Ingwer (Singular),ginger
"der Radiospot, -s",radio ad
"schmelzen (schmilzt, schmolz, ist geschmolzen)",to melt
alleinerziehend,single parenting
die Arbeitsbedingungen (Plural),working conditions
"die Arbeitskraft, Arbeitskräfte",workforce
automatisiert,automated
autoritär,authoritarian
berufstätig,"working, employed"
"die Fabrik, -en",factory
"die Großfamilie, -n",extended family
die Kindererziehung (Singular),child rearing
"die Kleinfamilie, -n",nuclear family
die Schulbildung (Singular),education
"der Vergleich, -e",comparison
zum Glück,luckily
erben,to inherit
"der Wendepunkt, -e",turning point
"der Artikel, -",article
"einschlagen (schlägt ein, schlug ein, hat eingeschlagen) (einen neuen Weg einschlagen)",here: to pursue (to pursue an new path)
gut situiert,well-situated
"die Krankheit, -en",illness
"die Krisensituation, -en",crisis situation
"die Lebensgeschichte, -n",life story
der Lebenswandel (Singular),life change
"der Prozess, -e",process
raus (Ich will raus aus meinem langweiligen Leben.),out (I want to get out of my boring life.)
scheinbar,apparent(ly)
solche/solcher,such
"der Todesfall, Todesfälle",death
"die Trennung, -en",separation
abbauen,"to reduce, break down"
"aufgeben (gibt auf, gab auf, hat aufgegeben)",to give up
"der Bauchnabel, -",belly button
befreien,"to liberate, free"
"die Bewegung, -en",movement
"beweisen (beweist, bewies, hat bewiesen)",to prove
"die Blockade, -n","obstacle, blockade"
"brechen (bricht, brach, hat gebrochen)",to break
daraus,here: from that
"das Familienunternehmen, -",family business
"der Fernsehredakteur, -e",TV editor (m.)
"die Fleischfabrik, -en",meatpacking plant
gelähmt,paralyzed
"die Grundidee, -n",basic idea
künstlich,artificial
die Massenproduktion (Singular),mass production
"der Nerv, -en",nerve
der Optimismus (Singular),optimism
die Passivität (Singular),passivity
reich,rich
"der Rollstuhl, Rollstühle",wheelchair
"die Sekunde, -n",second
"das Skirennen, -",skiing race
"der Schlachthof, Schlachthöfe",slaughterhouse
spüren,to sense
"der Therapeut, -en",therapist (m.)
"überwinden (überwindet, überwand, hat überwunden)",to overcome
der Umgang (Singular),handling
unterhalb,below
"das Unternehmen, -","business, undertaking"
"die Verletzung, -en",injury
vermitteln,"to convey, impart"
der Wille (Singular),will
"die Wirbelsäule, -en",spine
wertvoll,valuable
"die Wurstwarenfabrik, -en",sausage factory
"der Zweifel, -",doubt
die Achtung (Singular),attention
unregelmäßig,irregular
"das Altersheim, -e",retirement home
"der/die Angehörige, -n","member, relative"
die Arbeitserlaubnis (Singular),work permit
arbeitslos,unemployed
"die Droge, -n",drug
"die Fortbildung, -en",further education; continuing education
getrennt leben,to live separated
kündigen,to resign; to dismiss
"der Nichtraucher, -",non-smoker
pflegen,"to care for, maintain"
"die Rente, -n (Er geht in Rente. Er bekommt Rente.)",pension (He is retiring. He gets a pension.)
"die Scheidung, -en",divorce
"die Schwangerschaft, -en",pregnancy
selbstständig machen (sich),to be self-employed
"sterben (stirbt, starb, ist gestorben)",to die
"die Steuer, -n",tax
süchtig (nach) (nach einer Droge süchtig werden),addicted (to become addicted to a drug)
die Teilzeit (Singular) (Sie arbeitet Teilzeit.),part-time (She works part time.)
"die Therapie, -n",therapy
"der Tod, -e",death
Vergangenes,past
"der Anhang, Anhänge",appendix
"der Autounfall, Autounfälle",car accident
"die Innenstadt, Innenstädte",downtown
tauschen,to trade
"die Trambahn, -en","streetcar, tram"
die Übungssache (Singular),matter of practice
die Wirklichkeit (Singular),truth
"das Zitat, -e",quote
"zusammentreffen (trifft zusammen, traf zusammen, ist zusammengetroffen)","to meet, to encounter"
erstellen,"to construct, draw up"
"abraten (rät ab, riet ab, hat abgeraten)",to advise against
bevor,before
dagegen,against s.t.
erwischen,"to catch, nab"
"der Schmetterling, -e",butterfly
tätig (tätig sein),"active, working (to work)"
verknallt,to have a crush on s.o.
während (+ Genitiv/Dativ),"during, throughout"
"der Ausschnitt, -e","excerpt, clipping"
"die Beziehung, -en",relationship
"die Krise, -n",crisis
"der Neuanfang, Neuanfänge",new beginning
Positives,positive thing
"die Liebesgeschichte, -n",love story
niemals,never
"wegziehen (zieht weg, zog weg, ist weggezogen) (Sie zieht weg.)",to move away (She moves away.)
"ziehen (zu/nach) (zieht, zog, ist gezogen) (Sie zieht nach Italien. Sie zieht zu ihrem Mann.)",to move (She is moving to Italy. She is going to live with her husband.)
sodass,so that
vermissen,to miss s.o.
"das Dilemma, -s",dilemma
"zurückbekommen (bekommt zurück, bekam zurück, hat zurückbekommen)",to get back
"zwar (zwar … aber) (Ich verstehe zwar Spanisch, aber ich spreche nicht gut.)","here: though (Though I understand Spanish, I don’t speak it well.)"
die Erziehung (Singular),"education, training"
verletzen (sich),to injure
"das Zebra, -s",zebra
"der Zitronenbaum, Zitronenbäume",lemon tree
die Bundesrepublik (Singular),federal republic
geteilt,divided
"die Wende, -n",turn
"anstehen (steht an, stand an, hat angestanden)",to stand in line
die DDR (Singular),German Democratic Republic
demokratisch,democratic(ally)
errichten,"to establish, set up"
"fliehen (flieht, floh, ist geflohen)","to flee, escape"
"die Gründung, -en",establishment
"die Republik, -en",republic
"der Weltkrieg, -e",world war
ausgestattet,equipped
"die Demokratie, -n",democracy
einzigartig,"unique, singular"
entgegenströmen,to stream toward
"erfahren (erfährt, erfuhr, hat erfahren)","to learn, find out, experience"
"fallen (fällt, fiel, ist gefallen)",to fall
fordern,to demand
die Geschichte (Singular),history
grandios,grandiose
"der Grenzübergang, Grenzübergänge",border crossing
heutig,present-day
Hunderttausende,hundreds of thousands
jubeln,to cheer
klopfen,to knock
"die Menschenmasse, -n","crowd, mass"
"der Plastikbecher, -",pastic cup
reichen,to pass; to hand
"rennen (rennt, rannte, ist gerannt)",to run
"der Sektbecher, -",cup of champagne
"die Sektflasche, -n",champagne bottle
der Sozialkundeunterricht (Singular),social studies class
stolz,proud
"strömen (strömt, strömte, ist geströmt)",to stream
"der Trabi, -s",Trabant
"umarmen (umarmt, umarmte, hat umarmt)","to embrace, hug"
vergleichbar,comparable
"die Wahl, -en (Die Menschenmenge fordert freie Wahlen.)",elections (The masses demand free elections.)
"die Wiedervereinigung, -en",reunion
wildfremd,completely strange
worum,about what
"der Erzähler, -",narrator (m.)
"die Analyse, -n",analysis
bearbeiten,"to work on, process, edit"
"die Briefträgerin, -nen",postal carrier (f.)
"die Chemikerin, -nen",chemist (f.)
die Elektronik (Singular),electronics
"die Fremdsprachenkenntnis, -se",knowledge of foreign languages
geregelt,"controlled, orderly, settled"
"das Labor, -s",laboratory
"die Mechatronikerin, -nen",mechanical electronics engineer (f.)
"das Metall, -e",metal
"ernst nehmen (nimmt ernst, nahm ernst, hat ernst genommen)",to take s.o. or s.t. seriously
"die Herausforderung, -en",challenge
regeln,"to regulate, control"
"die Wissenschaftlerin, -nen",scientist (f.)
"die Akte, -n","file, record"
"der Bauer, -n",farmer (m.)
die Gesellschaft (Singular),"company, corporation, society"
"der Händler, -","dealer, trader (m.)"
"der Handwerker, -",artisan (m.)
die Menschenkenntnis (Singular),people skills
"der Politiker, -",politician (m.)
"der Reporter, -",reporter (m.)
"der Richter, -",judge (m.)
"die Schreinerin, -nen",carpenter (f.)
rechnen,to calculate
fortsetzen,"to continue, resume"
"schiefgehen (geht schief, ging schief, ist schiefgegangen)",to go wrong
bekleckern,to stain
"das Diagramm, -e",diagram
"die Lieblingskollegin, -nen",favorite colleague (f.)
parken,to park
schütten (Ich habe Kaffee über die Tastatur geschüttet.),to spill (I’ve spilled coffee over the keyboard.)
"verzeihen (verzeiht, verzieh, hat verziehen)","to forgive, excuse, pardon"
die Verzeihung (Singular),"forgiveness, pardon"
"die Wahrheit, -en",truth
"ankommen (auf + Akk.) (es kommt darauf an, kam darauf an, ist darauf angekommen)",to arrive
"die Bewerbung, -en",application
"der Arbeitgeber, -",employer
aussagekräftig,meaningful
"die Bescheinigung, -en",certificate
"der Bewerber, -",applicant
"das Bewerbungsschreiben, -",cover letter
"das Bewerbungstraining, -s",job application training
die Bewerbungsunterlagen (Plural),application materials
darauf (darauf freuen) (Er freut sich darauf!),here: to that (to look torward to) (He is looking toward to it.)
darin (Hier ist der Brief. Darin sind alle wichtigen Informationen.),in there (Here is the letter. All the information is in there.)
"das Dokument, -e",document
"die Institution, -en",institution
losschicken,to send off
"die Mail-Adresse, -n",mailing address
"das PDF-Dokument, -e",PDF document
"der Personalchef, -s",HR director
relevant,relevant
selbstverständlich,obvious(ly)
seriös,"serious, respectable"
speziell,"special(ly), specific(ally)"
der Stand (Singular),"status, standing"
"die Unterlage, -n","document, base"
"unterscheiden (unterscheidet, unterschied, hat unterschieden)","to distinguish, differentiate"
"das Vorstellungsgespräch, -e",interview
zukünftig,future
"beziehen (sich) (auf + Akk.) (bezieht sich, bezog sich, hat sich bezogen)",to refer
freuen (sich) (über + Akk.) (Ich freue mich über das gute Ergebnis.),to be pleased (I’m pleased about the good result.)
verzichten,"to abstain, forgo"
die Jobsuche (Singular),job search
die Kursunterlagen (Plural),course documents
längerfristig,long-term
nachmittags,afternoons
"der Nachtportier, -s",night porter (m.)
"der Stundenlohn, Stundenlöhne",hourly wage
"der Teilzeitjob, -s",part-time job
"der Bereich, der, -e","area, sector"
besetzt,"occupied, taken"
"der Interessent, -en",interested party
vereinbaren,"to agree on, arrange"
"vorbeikommen (kommt vorbei, kam vorbei, ist vorbeigekommen)","to come by, drop in"
"die Arbeitsweise, -n","way of working, working method"
die Aufmerksamkeit (Singular),attention
die Aufregung (Singular),excitement
die Beurteilung (Singular),"assessment, judgment"
"die Branche, -n",business field
"die Busverspätung, -en",bus delay
"der Faktor, Faktoren",factor
inhaltlich,relevant
konservativ,conservative(ly)
die Körperhaltung (Singular),posture
"die Körpersprache, -n",body language
vor lauter (Ich habe vor lauter Aufregung alles vergessen.),"here: out of sheer, total (Out of sheer excitement, I forgot everything.)"
locker,"casual(ly), loose(ly)"
meistern,to master
menschlich,human(ly)
"das Outfit, -s",outfit
"die Persönlichkeit, -en",personality
signalisieren,to signal
verhindern,"to prevent, avert"
"die Werbeagentur, -en",advertising agency
das Recycling (Singular),recycling
"die Region, -en",region
"der Transportweg, -e",transport corridor
die Umwelt (Singular),environment
"die Verpackung, -en",packaging
"der Anteil, -e (ein hoher Anteil)",amount (a large amount)
"der Band, Bände",here: volume
das Bio-Fleisch (Singular),"organic meat, naturally raised meat"
dick,thick
der Fleischkonsum (Singular),meat consumption
"die Gebühr, -en","fee, tax"
die Gesamtbevölkerung (Singular),total population
"der Güterzug, Güterzüge",freight train
die Herkunft (Singular),origin
"das Huhn, Hühner",chicken
konstant,constant(ly)
"die Marke, -n",brand
"der Marktanteil, -e",market share
das Material (Singular),material
"die Menge, -n","amount, quantity"
mitrechnen,"to add in, include"
"der Mond, -e",moon
die Müllabfuhr (Singular),trash removal
die Mülltrennung (Singular),waste sorting
"das Nahrungsmittel, -",foodstuff
der Papierverbrauch (Singular),paper use
die Produktion (Singular),production
rein,pure(ly)
relativ,relative(ly)
"das Schaf, -e",sheep
statistisch,statistically
"die Tonne, -n",ton
transportieren,to transport
"der Trend, -s",trend
das Trinkwasser (Singular),drinking water
der Umweltschutz (Singular),environmental protection
"das Verpackungsmaterial, -materialien",packaging material
verspeisen,to consume
"die Ziege, -n",goat
zirka (= circa),"about, circa"
"die Bettdecke, -n","bedcover, duvet"
"die Büchse, -n",tin can
"die Drogerie, -n",drug store
"die Decke, -n","ceiling, blanket"
"Eisenbahn, die, -n",train
elektrisch,electric(ally)
"der Fisch, -e",fish
"die Frucht, Früchte",fruit
"der Hut, Hüte",hat
"die Kerze, -n",candle
"die Vase,-n",vase
"die Zahnbürste, -n",toothbrush
"die Zahncreme, -s",toothpaste
"der Begriff, -e",term
berechnen,to calculate
"der Fußabdruck, Fußabdrücke",footprint
ökologisch,ecological(ly)
"das Öko-Duell, -s/-e",eco-duel
"die Badewanne, -n",bathtub
behandeln,to treat
"die Chemikalie, -n",chemical
"die Duschzeit, -en",shower duration
"der E-Book-Leser, -",e-book reader
"der E-Book-Reader, -",e-book reader
effizient,efficient(ly)
das Erdöl (Singular),"crude oil, petroleum"
gedruckt,printed
"der Geschirrspüler, -",dishwasher
"der Gewinner, -",winner
herstellen,"to produce, manufacture"
"die Maschine, -n",machine
"die Ökobilanz, -en","ecobalance, life-cycle assessment"
"die Papiertüte, Papiertüten",paper bag
"die Plastiktüte, -n",plastic bag
"reißen (reißt, riss, ist gerissen)",to tear
"die Stofftasche, -n",cloth bag
"das Treibhausgas, -e",greenhouse gas
umweltfreundlich,environmentally friendly
verbrauchen,"to consume, use up"
die Wahl (Singular) (Eine Stofftasche ist die beste Wahl.),choice (A cloth bag is the best choice.)
der Wasserverbrauch (Singular),water consumption
"der Zeitraum, Zeiträume",time period
das Autofahren (Singular),car driving
"das Modell, -e",model
"die Aktion, -en","action, campaign"
"das Argument, -e",argument
contra,"against, con"
"die Diskussion, -en",discussion
"der/die Einzelne, -n (Jeder Einzelne kann etwas tun.)",individual (Everyone can do s.th.)
"das Gegenteil, -e","contrary, opposite"
"das Gesetz, -e",law
"der Staat, -en",state
"der Standpunkt, -e","position, viewpoint"
überzeugt,convinced
